user1_class,user1_level,user2_class,user2_level,user3_class,user3_level,user4_class,user4_level,cleartime
6,1595.83 ,3,1590.00 ,7,1581.67 ,22,1600.83 ,261
10,1602.50 ,8,1586.67 ,7,1620.83 ,21,1603.33 ,191
6,1595.83 ,17,1595.00 ,14,1600.00 ,12,1600.83 ,255
10,1602.50 ,13,1610.83 ,14,1588.33 ,12,1611.67 ,226
6,1595.83 ,15,1600.00 ,14,1585.83 ,7,1605.83 ,234
10,1602.50 ,12,1607.50 ,15,1602.50 ,3,1603.33 ,229
6,1595.83 ,3,1590.83 ,10,1586.67 ,5,1585.00 ,273
10,1602.50 ,14,1600.83 ,13,1607.50 ,5,1603.33 ,219
6,1595.83 ,8,1593.33 ,3,1585.00 ,17,1592.50 ,273
10,1602.50 ,6,1592.50 ,7,1603.33 ,3,1600.83 ,240
6,1595.83 ,10,1615.00 ,12,1609.17 ,14,1586.67 ,217
10,1605.83 ,14,1598.33 ,5,1604.17 ,19,1601.67 ,250
6,1600.83 ,19,1600.83 ,13,1616.67 ,14,1606.67 ,243
0,1594.17 ,14,1609.17 ,19,1601.67 ,5,1600.00 ,212
10,1605.83 ,1,1601.67 ,14,1600.00 ,19,1595.00 ,227
6,1600.83 ,17,1603.33 ,14,1587.50 ,2,1604.17 ,233
10,1605.83 ,13,1545.00 ,8,1591.67 ,14,1602.50 ,230
6,1600.83 ,14,1597.50 ,18,1603.33 ,2,1582.50 ,293
10,1605.83 ,14,1601.67 ,16,1613.33 ,9,1588.33 ,215
10,1605.83 ,5,1590.83 ,20,1607.50 ,14,1601.67 ,233
6,1600.83 ,2,1603.33 ,14,1600.00 ,11,1603.33 ,270
10,1605.83 ,3,1620.00 ,0,1603.33 ,18,1612.50 ,247
6,1600.83 ,13,1607.50 ,3,1580.00 ,15,1588.33 ,231
10,1605.83 ,14,1609.17 ,13,1608.33 ,11,1614.17 ,199
6,1600.83 ,4,1599.17 ,17,1600.00 ,14,1611.67 ,229
0,1597.50 ,15,1606.67 ,12,1597.50 ,3,1580.83 ,220
0,1597.50 ,7,1596.67 ,12,1603.33 ,21,1581.67 ,208
10,1606.67 ,15,1600.00 ,14,1600.00 ,13,1610.83 ,200
6,1600.83 ,13,1595.83 ,14,1603.33 ,7,1594.17 ,281
4,1580.00 ,0,1590.00 ,5,1602.50 ,21,1593.33 ,282
6,1600.83 ,14,1605.00 ,4,1595.00 ,13,1604.17 ,233
0,1597.50 ,8,1586.67 ,12,1604.17 ,21,1587.50 ,235
4,1580.00 ,3,1580.83 ,17,1605.83 ,12,1590.83 ,303
10,1606.67 ,19,1602.50 ,14,1605.00 ,12,1598.33 ,223
6,1600.83 ,5,1608.33 ,7,1610.00 ,21,1590.83 ,208
10,1606.67 ,4,1622.50 ,14,1600.00 ,15,1624.17 ,177
6,1600.83 ,4,1615.00 ,2,1603.33 ,3,1583.33 ,229
10,1606.67 ,16,1601.67 ,3,1600.00 ,0,1602.50 ,254
6,1600.83 ,11,1609.17 ,14,1602.50 ,17,1602.50 ,235
10,1606.67 ,14,1605.00 ,17,1604.17 ,12,1604.17 ,223
6,1600.83 ,2,1641.67 ,15,1607.50 ,21,1600.00 ,198
10,1606.67 ,8,1604.17 ,14,1584.17 ,1,1609.17 ,218
6,1600.83 ,15,1614.17 ,14,1614.17 ,17,1606.67 ,200
10,1607.50 ,13,1600.00 ,14,1610.00 ,20,1610.00 ,238
6,1600.83 ,3,1610.00 ,13,1603.33 ,0,1611.67 ,250
10,1607.50 ,9,1623.33 ,14,1607.50 ,7,1610.83 ,180
6,1600.83 ,17,1602.50 ,16,1585.00 ,21,1584.17 ,247
6,1600.83 ,7,1593.33 ,14,1606.67 ,13,1605.00 ,272
10,1607.50 ,14,1600.83 ,0,1600.83 ,5,1608.33 ,188
10,1607.50 ,18,1610.00 ,13,1609.17 ,21,1607.50 ,235
6,1600.83 ,13,1597.50 ,18,1603.33 ,3,1595.00 ,238
6,1600.83 ,14,1585.83 ,13,1596.67 ,17,1590.83 ,261
10,1607.50 ,21,1610.00 ,1,1605.83 ,15,1605.00 ,207
6,1600.83 ,14,1606.67 ,15,1603.33 ,18,1605.00 ,231
10,1607.50 ,16,1617.50 ,17,1605.00 ,21,1600.00 ,160
10,1607.50 ,14,1603.33 ,4,1611.67 ,0,1612.50 ,221
6,1600.83 ,4,1608.33 ,20,1601.67 ,3,1595.00 ,234
10,1607.50 ,13,1596.67 ,3,1600.00 ,22,1585.00 ,210
6,1600.83 ,10,1605.00 ,16,1616.67 ,3,1595.00 ,176
6,1600.83 ,4,1608.33 ,14,1603.33 ,5,1612.50 ,195
10,1607.50 ,3,1600.83 ,4,1603.33 ,15,1615.00 ,197
10,1607.50 ,17,1620.83 ,4,1608.33 ,14,1600.83 ,247
6,1600.83 ,14,1604.17 ,1,1608.33 ,17,1610.00 ,232
10,1607.50 ,21,1610.00 ,16,1610.00 ,17,1605.00 ,213
6,1600.83 ,14,1611.67 ,18,1621.67 ,13,1613.33 ,203
10,1607.50 ,22,1590.00 ,9,1596.67 ,3,1583.33 ,243
6,1600.83 ,14,1590.00 ,19,1595.00 ,18,1604.17 ,226
10,1608.33 ,3,1605.00 ,13,1600.83 ,17,1600.83 ,235
6,1601.67 ,5,1605.00 ,12,1600.00 ,3,1590.00 ,224
10,1608.33 ,6,1603.33 ,11,1605.00 ,14,1600.83 ,227
6,1601.67 ,7,1608.33 ,14,1600.00 ,9,1605.83 ,267
10,1608.33 ,18,1610.83 ,13,1580.00 ,14,1594.17 ,268
6,1601.67 ,7,1605.00 ,20,1602.50 ,14,1585.83 ,217
10,1608.33 ,14,1600.83 ,22,1613.33 ,2,1593.33 ,212
6,1601.67 ,7,1602.50 ,21,1600.00 ,12,1610.83 ,230
14,1580.83 ,16,1603.33 ,19,1610.00 ,13,1622.50 ,203
10,1608.33 ,14,1622.50 ,2,1604.17 ,4,1602.50 ,223
6,1601.67 ,8,1610.00 ,3,1581.67 ,4,1604.17 ,292
10,1608.33 ,19,1602.50 ,3,1600.00 ,20,1602.50 ,193
6,1601.67 ,4,1631.67 ,7,1605.83 ,14,1620.00 ,196
10,1608.33 ,14,1600.00 ,18,1605.83 ,11,1606.67 ,228
6,1601.67 ,14,1610.83 ,7,1609.17 ,13,1609.17 ,208
6,1601.67 ,19,1591.67 ,7,1610.00 ,21,1600.00 ,221
10,1608.33 ,2,1605.00 ,8,1604.17 ,3,1600.00 ,256
10,1608.33 ,13,1610.00 ,2,1611.67 ,21,1605.83 ,227
6,1601.67 ,5,1603.33 ,1,1590.00 ,21,1592.50 ,301
10,1608.33 ,14,1605.00 ,6,1602.50 ,13,1611.67 ,201
6,1601.67 ,22,1593.33 ,14,1581.67 ,5,1600.00 ,204
10,1608.33 ,13,1611.67 ,4,1610.00 ,21,1582.50 ,214
6,1601.67 ,21,1601.67 ,10,1614.17 ,13,1607.50 ,213
10,1608.33 ,14,1603.33 ,7,1614.17 ,19,1600.00 ,201
6,1601.67 ,19,1616.67 ,5,1610.83 ,14,1600.83 ,205
10,1608.33 ,14,1620.00 ,2,1607.50 ,16,1607.50 ,209
10,1608.33 ,7,1630.00 ,14,1605.83 ,22,1580.00 ,186
6,1601.67 ,3,1601.67 ,1,1615.00 ,5,1594.17 ,249
10,1608.33 ,3,1608.33 ,15,1613.33 ,22,1615.00 ,201
6,1601.67 ,3,1605.00 ,16,1613.33 ,2,1614.17 ,202
10,1608.33 ,12,1607.50 ,13,1616.67 ,14,1605.00 ,200
6,1601.67 ,14,1617.50 ,7,1620.00 ,19,1603.33 ,187
10,1608.33 ,14,1606.67 ,11,1610.00 ,9,1603.33 ,218
6,1601.67 ,0,1607.50 ,5,1581.67 ,21,1595.83 ,244
10,1608.33 ,9,1600.00 ,14,1615.00 ,1,1585.00 ,239
6,1601.67 ,22,1610.83 ,14,1600.83 ,17,1595.83 ,230
10,1608.33 ,4,1595.83 ,17,1606.67 ,21,1590.83 ,204
6,1601.67 ,4,1609.17 ,14,1627.50 ,8,1600.00 ,191
10,1608.33 ,17,1609.17 ,9,1585.83 ,14,1590.83 ,236
6,1601.67 ,7,1601.67 ,14,1604.17 ,17,1602.50 ,238
10,1608.33 ,21,1605.00 ,13,1616.67 ,17,1620.00 ,180
6,1601.67 ,3,1614.17 ,2,1608.33 ,1,1600.00 ,205
10,1608.33 ,5,1603.33 ,14,1591.67 ,13,1601.67 ,213
6,1601.67 ,2,1600.00 ,13,1600.83 ,21,1594.17 ,240
10,1608.33 ,21,1605.83 ,13,1600.00 ,17,1580.00 ,249
6,1601.67 ,14,1603.33 ,16,1612.50 ,17,1618.33 ,222
10,1608.33 ,5,1614.17 ,3,1605.00 ,20,1608.33 ,173
6,1601.67 ,3,1600.00 ,0,1610.83 ,7,1602.50 ,272
10,1608.33 ,12,1614.17 ,14,1600.00 ,5,1609.17 ,202
6,1601.67 ,7,1601.67 ,3,1584.17 ,15,1605.00 ,224
10,1608.33 ,22,1605.83 ,14,1610.00 ,13,1620.83 ,209
6,1601.67 ,7,1608.33 ,14,1615.00 ,15,1615.83 ,205
10,1608.33 ,3,1640.00 ,13,1615.00 ,8,1610.83 ,197
6,1601.67 ,14,1616.67 ,9,1615.00 ,20,1620.00 ,194
10,1609.17 ,14,1620.00 ,8,1611.67 ,4,1611.67 ,229
6,1601.67 ,3,1615.00 ,7,1605.83 ,13,1596.67 ,193
10,1609.17 ,14,1609.17 ,5,1602.50 ,17,1580.00 ,243
6,1601.67 ,3,1602.50 ,15,1602.50 ,2,1612.50 ,192
10,1609.17 ,14,1601.67 ,19,1600.00 ,13,1612.50 ,239
6,1601.67 ,14,1613.33 ,7,1615.83 ,19,1580.83 ,233
6,1601.67 ,2,1615.00 ,5,1600.83 ,14,1615.00 ,249
10,1609.17 ,3,1600.00 ,6,1619.17 ,4,1611.67 ,212
10,1609.17 ,14,1610.00 ,20,1602.50 ,8,1609.17 ,174
6,1601.67 ,14,1602.50 ,7,1614.17 ,2,1600.00 ,221
10,1609.17 ,4,1620.00 ,7,1615.00 ,14,1603.33 ,181
6,1601.67 ,2,1605.00 ,20,1602.50 ,14,1601.67 ,243
